12,61,74,137,154,191,194,197,200,220,226,248,271,280,310,318,327,351,366,408
22,34,65,70,181,184,199,206,211,223,269,259,297,314,319,326,335,362,368,409
19,27,41,80,111,165,182,183,218,232,268,278,306,321,325,332,373,394,400,407
38,62,67,69,76,132,147,166,203,238,260,266,273,275,302,324,372,395,401,406
18,33,40,54,68,98,119,140,141,146,167,252,262,300,323,365,375,393,399,410
4,6,48,88,90,92,97,101,117,124,145,179,246,346,370,380,382,387,392,398
2,16,31,60,66,107,109,110,113,123,135,155,162,174,224,225,234,244,339,386
1,9,30,32,44,49,59,71,103,118,120,139,173,176,230,245,257,276,293,385
15,28,29,52,56,63,75,94,100,130,169,172,175,212,227,242,258,270,294,309
5,20,25,37,42,47,51,64,168,209,219,256,295,334,337,340,350,355,363,369
26,35,36,45,58,77,83,125,138,204,210,217,243,251,255,303,322,336,344,357
21,39,72,81,87,91,142,157,158,185,207,213,250,307,333,342,343,361,374,404
8,82,102,121,129,136,144,153,160,161,177,186,187,249,261,288,353,358,384,402
17,85,99,106,159,164,188,192,198,202,214,247,267,292,296,308,313,349,356,405
53,93,96,114,149,171,189,193,233,241,265,289,298,348,367,378,381,388,396,403
24,79,95,148,170,190,205,216,235,240,284,287,299,320,331,347,371,383,389,397
3,11,13,46,57,89,112,134,163,221,236,254,264,281,283,290,301,341,352,390
43,50,78,86,104,105,126,151,152,231,237,253,282,291,311,315,330,345,376,391
14,23,55,73,108,116,122,143,150,156,228,229,239,263,304,316,329,338,360,377
7,10,84,133,178,180,195,196,201,215,272,277,286,305,312,317,328,354,364,379
